"","","","","","","","","DEPARTMENT INSTRUCTIONAL REPORT-FINAL","","","","","",""
"","","","","","","","","","","","","","RUN DATE:","8/8/2008"
"","","","","","","","","","University of Wisconsin-Madison","","","","",""
"","","","","","","","","","","","","","RUN TIME:","9:44:48AM"
"","","","","","","","","","Office of the Registrar","","","","",""
"","SUBJECT: AMERICAN INDIAN STUDIES (140)","","","","","","","","","","","","",""
"TERM:","1086","","","","","","","","","","","","",""
"","","","","","","","","FACILITY_ID","COMB_ENRL","ENRL_TOT","EMPLID","INSTRUCTOR ROLE/NAME","",""
"AMERICAN INDIAN STUDIES","","","","","","","","","","","","","",""
"ACC
 172
LEC","001","1","13:10 - 16:10","M","T","W R","F","0018 4208","34","22","0000315329","ROBERTA HILL","",""
"BJJ
 699
IND","009","1","-","","","","","","","1","0003573770","THERESA SCHENCK","",""
"","","","","","","","","","","","","","PAGE NUMBER:
1","OF
1"
