"","","","","","","","","","DEPARTMENT INSTRUCTIONAL REPORT","","","","","","","",""
"","","","","","","","","","","University of Wisconsin-Madison","","","","","","",""
"","Office of the Registrar                                                        Run Date: 2/22/2022 13:33:26 PM","","","","","","","","","","","","","","","",""
"VET","","","","","","","","","","","","","","","","",""
"MEDICAL HISTORY AND BIOETHICS (452)","","","","","","","","","","","","","","","","",""
"TERM:  1224","","","","","","","","","","","","","","","","",""
"COLLEGE:  VET","","","","","","","","","","","","","","","","",""
"SUBJECT:  MEDICAL HISTORY AND BIOETHICS (452)","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","COMB","ENRL","",""
"SESS","CAT","COMP","SECT","OFFER","Time","M","T","W","R","F","S","X","FACILITY","","","EMPLID","Instructor role / name"
"","","","","","","","","","","","","","","ENRN","TOT","",""
"A1","370","LEC","001","2","14:30 - 15:45","","T","","","","","","0140 1185","29","17","0003090528","P / ROBERT STREIFFER"
"A1","370","LEC","001","2","14:30 - 15:45","","","","R","","","","0140 2190","29","17","0000655397","P / ERIC SANDGREN"
"","","","","","","","","","","","","","","","","","Page 735 of 756"
