"","","","","","","","","","DEPARTMENT INSTRUCTIONAL REPORT","","","","","","","",""
"","","","","","","","","","","University of Wisconsin-Madison","","","","","","",""
"","Office of the Registrar                                                        Run Date: 2/19/2025 9:55:00 AM","","","","","","","","","","","","","","","",""
"INTEGRATED ARTS (495)","","","","","","","","","","","","","","","","",""
"TERM:  1254","","","","","","","","","","","","","","","","",""
"COLLEGE:  EDU","","","","","","","","","","","","","","","","",""
"SUBJECT:  INTEGRATED ARTS (495)","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","COMB","ENRL","",""
"SESS","CAT","COMP","SECT","OFFER","Time","M","T","W","R","F","S","X","FACILITY","","","EMPLID","Instructor role / name"
"","","","","","","","","","","","","","","ENRN","TOT","",""
"A1","112","LAB","001","1","17:30 - 19:00","","T","","","","","","1245 0131","","11","0003374762","P / JOHN HITCHCOCK"
"A1","636","LEC","001","2","09:30 - 10:45","","T","","R","","","","0140 1180","33","4","0000430872","P / JOHN SURDYK"
"","","","","","","","","","","","","","","","","","Page 148 of 799"
