"","","","","","DEPARTMENT INSTRUCTIONAL REPORT-FINAL","","","","",""
"","","","","","","","","","RUN DATE:","10/10/2013"
"","","","","","University of Wisconsin-Madison","","","","",""
"","","","","","","","","","RUN TIME:","5:08:14PM"
"","","","","","Office of the Registrar","","","","",""
"","SUBJECT: SCIENCE AND TECHNOLOGY STUDIES (875)","","","","","","","","",""
"TERM:","1142","","","","","","","","",""
"","","","","","FACILITY_ID
COMB_ENRL","ENRL_TOT","EMPLID","INSTRUCTOR ROLE/NAME","",""
"SCIENCE AND TECHNOLOGY STUDIES","","","","","","","","","",""
"A1
 699
IND","001","1","-","","","1","0001400134","DIETRAM SCHEUFELE","",""
"A1
 902
SEM","001","1","12:30 - 14:00","R","0046 8411","11","0002600607","ERIC SCHATZBERG","",""
"","","","","","","","","","PAGE NUMBER:
1","OF
1"
