"","","","","","","","","","","DEPARTMENT INSTRUCTIONAL REPORT-FINAL","","","",""
"","","","","","","","","","","","","","RUN DATE:","8/9/2010"
"","","","","","","","","","","University of Wisconsin-Madison","","","",""
"","","","","","","","","","","","","","RUN TIME:","3:13:07PM"
"","","","","","","","","","","Office of the Registrar","","","",""
"","","SUBJECT: INTERNATIONAL STUDIES (504)","","","","","","","","","","","",""
"","","TERM:","1106","","","","","","","","","","",""
"","","","","","","","","","FACILITY_ID","COMB_ENRL
ENRL_TOT","EMPLID","INSTRUCTOR ROLE/NAME","",""
"","INTERNATIONAL STUDIES","","","","","","","","","","","","",""
"FAA","620","SEM","002","1","-","M","T","W R","F","15","0002602070","SUSAN BRANTLY","",""
"","","","","","","","","","","","","","PAGE NUMBER:
1","OF
1"
