"","","","","","","","","","","DEPARTMENT INSTRUCTIONAL REPORT - CALL","","","","","",""
"","","","","","","","","","","","","","","","RUN DATE:","10/14/2016"
"","","","","","","","","","","","University of Wisconsin-Madison","","","","",""
"","","","","","","","","","","","","","","","RUN TIME:","6:36:28PM"
"","","","","","","","","","","","Office of the Registrar","","","","",""
"","","SUBJECT: BIOSTATISTICS AND MEDICAL INFORMATICS (210)","","","","","","","","","","","","","",""
"","","TERM:","1172","","","","","","","","","","","","",""
"","","","","","","","","","","Facil ID","COMB_ENRL","ENRL_TOT","EMPLID","INSTRUCTOR ROLE/NAME","",""
"KBB","918","LEC","020","1","06:00 - 17:00","M","T","W R","F","S","49","1","0004918171","ENEIDA MENDONCA","",""
"","","","","","","","","","","","","","","","PAGE NUMBER:
2","OF
2"
