"TERM:  1222","","","","","","","","","","","","","","","",""
"COLLEGE:  L&S","","","","","","","","","","","","","","","",""
"SUBJECT:  ASIAN LANGUAGES AND CULTURES (185)","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","COMB","ENRL","",""
"SESS","CAT","COMP","SECT","OFFER","Time","M
T","W","R","F","S","X","FACILITY","","","EMPLID","Instructor role / name"
"","","","","","","","","","","","","","ENRN","TOT","",""
"A1","236","DIS","304","1","09:55 - 10:45","","","","F","","","0048 B215","19","16","0003975262","P / MONICA LEDESMA"
"A1","236","DIS","305","1","12:05 - 12:55","","","","F","","","0449 0290","19","15","0003724303","S / JAMAL JONES"
"A1","236","DIS","305","1","12:05 - 12:55","","","","F","","","0449 0290","19","15","0003975262","P / MONICA LEDESMA"
"A1","236","DIS","306","1","07:45 - 08:35","","","","F","","","0055 2104","20","17","0003724303","S / JAMAL JONES"
"A1","236","DIS","306","1","07:45 - 08:35","","","","F","","","0055 2104","20","17","0006210698","P / YUZHE LI"
"A1","244","LEC","001","5","09:30 - 10:45","T","","R","","","","0469 1101","62","11","0002602051","P / MICHAEL CULLINANE"
"A1","244","DIS","301","5","15:30 - 16:20","","","R","","","","0046 6109","14","2","0006089993","P / JOHN BASSETT"
"A1","244","DIS","302","5","16:35 - 17:25","","","R","","","","0046 6109","7","0","0006089993","P / JOHN BASSETT"
"A1","244","DIS","303","5","08:50 - 09:40","","","","F","","","0055 2108","9","2","0006089993","P / JOHN BASSETT"
"A1","244","DIS","304","5","09:55 - 10:45","","","","F","","","0055 2112","12","2","0006089993","P / JOHN BASSETT"
"A1","244","DIS","305","5","09:55 - 10:45","","","","F","","","0055 2116","15","5","0002602051","P / MICHAEL CULLINANE"
"A1","244","DIS","333","5","-","","","","","","","","5","0","0002602051","P / MICHAEL CULLINANE"
"A1","253","LEC","001","2","13:00 - 14:15","T","","R","","","","0074B0270","96","60","0004587177","P / ADAM KERN"
"A1","253","LEC","001","2","13:00 - 14:15","T","","R","","","","0074B0270","96","60","0005018288","X / ALICIA FOLEY"
"A1","255","LEC","001","4","08:00 - 09:15","T","","R","","","","0056 0022","85","35","0003046799","P / ANATOLY DETWYLER"
"A1","255","LEC","001","4","08:00 - 09:15","T","","R","","","","0056 0022","85","35","0005174838","X / LUWEI WANG"
"A1","300","LEC","001","1","11:00 - 12:15","T","","R","","","","1246 0112","","9","0002601220","P / GUDRUN BUHNEMANN"
"A1","301","LEC","001","2","09:30 - 10:45","T","","R","","","","0055 2104","27","13","0004725204","P / EUN SIL OH"
"A1","307","LEC","001","1","14:30 - 15:45","M","W","","","","","0470 0103","60","37","0004123965","P / JAMPA KHEDUP"
"A1","308","LEC","001","3","16:00 - 17:15","M","W","","","","","0402 0168","69","19","0005359447","P / TYLER LEHRER"
"A1","308","DIS","301","3","08:50 - 09:40","","","R","","","","0046 6101","17","4","0004144598","P / NAPAKADOL KITTISENEE"
"A1","308","DIS","302","3","09:55 - 10:45","","","R","","","","0046 6101","17","8","0004144598","P / NAPAKADOL KITTISENEE"
"A1","308","DIS","303","3","11:00 - 11:50","","","R","","","","0046 6113","18","3","0004144598","P / NAPAKADOL KITTISENEE"
"A1","308","DIS","304","3","14:25 - 15:15","","","R","","","","0469 2231","17","4","0004144598","P / NAPAKADOL KITTISENEE"
"A1","319","LEC","001","2","14:30 - 15:45","T","","R","","","","0046 5231","80","11","0002600071","P / ALFRED MCCOY"
"A1","319","DIS","301","2","09:55 - 10:45","","W","","","","","0055 2112","18","4","0006084891","P / CHRISTOPHER HULSHOF"
"A1","319","DIS","302","2","11:00 - 11:50","","W","","","","","0055 2112","17","4","0006084891","P / CHRISTOPHER HULSHOF"
"A1","319","DIS","303","2","12:05 - 12:55","","W","","","","","0055 2112","15","2","0006084891","P / CHRISTOPHER HULSHOF"
"A1","319","DIS","304","2","14:25 - 15:15","","W","","","","","0469 2231","16","1","0006084891","P / CHRISTOPHER HULSHOF"
