"","","","","","","","DEPARTMENT INSTRUCTIONAL REPORT","","","","",""
"","","","","","","","","","","","RUN DATE:","10/16/2017"
"","","","","","","","University of Wisconsin-Madison","","","","",""
"","","","","","","","","","","","RUN TIME:","6:07:40PM"
"","","","","","","","Office of the Registrar","","","","",""
"","","SUBJECT: FINANCE, INVESTMENT AND BANKING (233)","","","","","","","","","",""
"","","TERM: 1182","","","","","","","","","",""
"","","","","","","","FACILITY_ID
COMB_ENRL","ENRL_TOT","EMPLID","INSTRUCTOR ROLE/NAME","",""
"A1","973","LEC","001","2","11:00 - 12:30","F","0140 4580","3","0004573872","ROBERTO ROBATTO","",""
"A1","990","IND","121","1","-","","","1","0004946885","PHILIP CORBAE","",""
"","","","","","","","","","","","PAGE NUMBER:
3","OF
3"
