"COLLEGE:  IES","","","","","","","","","","","","","","","",""
"SUBJECT:  ENVIRONMENTAL STUDIES - GAYLORD NELSON INSTITUTE (360)","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","COMB","ENRL","",""
"SESS","CAT","COMP","SECT","OFFER","Time","M
T","W","R","F","S","X","FACILITY","","","EMPLID","Instructor role / name"
"","","","","","","","","","","","","","ENRN","TOT","",""
"A1","400","LEC","001","1","16:00 - 17:15","","","R","","","","0060 1510","17","15","0006228034","P / ZUZANA BURIVALOVA"
"A1","400","LEC","002","1","16:00 - 17:15","","","R","","","","0060 1510","17","2","0006228034","P / ZUZANA BURIVALOVA"
"A1","400","LEC","003","1","14:25 - 17:25","T","","","","","","0053 0175","18","3","0003493645","P / COOPER ROSIN"
"A1","400","LEC","004","1","14:25 - 15:15","T","","R","","","","0053 0110","","13","0002601388","P / PAUL ZEDLER"
"A1","400","DIS","301","1","16:00 - 17:15","T","","","","","","0114 A120","","15","0006228034","P / ZUZANA BURIVALOVA"
"A1","401","LEC","001","1","-","","","","","","","","","4","0003643052","P / TRACEY HOLLOWAY"
"A1","402","LEC","001","1","09:30 - 10:45","T","","R","","","","0053 0110","29","24","0000832474","P / KIM WAHL"
"A1","402","LEC","002","1","09:30 - 10:45","T","","R","","","","0140 1070","19","14","0001505785","P / MICHAEL TIBORIS"
"A1","402","LEC","003","1","13:00 - 14:15","T","","R","","","","0053 0175","","29","0000832474","P / KIM WAHL"
"A1","417","LEC","001","1","16:15 - 17:15","","","R","","","","0407 1163","","24","0004938395","P / CAROL BARFORD"
"A1","434","LEC","001","2","13:00 - 15:30","T","","","","","","0053 0360","20","11","0000718816","P / LISA NAUGHTON"
"A1","445","LEC","001","2","13:20 - 14:10","M","W","","F","","","0482 0582","19","0","0003233885","P / KATA BEILIN"
"A1","460","LEC","001","2","16:00 - 17:15","T","","R","","","","0469 1111","77","38","0005523117","P / MATT VILLENEUVE"
"A1","460","DIS","301","2","08:50 - 09:40","","","","F","","","0469 2125","18","10","0006211402","P / SAMM NEWTON"
"A1","460","DIS","302","2","09:55 - 10:45","","","","F","","","0469 2631","18","10","0006211402","P / SAMM NEWTON"
"A1","460","DIS","303","2","12:05 - 12:55","","","","F","","","0469 2125","18","12","0006211402","P / SAMM NEWTON"
"A1","460","DIS","304","2","13:20 - 14:10","","","","F","","","0469 2131","16","6","0006211402","P / SAMM NEWTON"
"A1","460","DIS","333","2","-","","","","","","","","7","0","0005523117","P / MATT VILLENEUVE"
"A1","502","LEC","001","2","13:00 - 14:15","T","","R","","","","0053 0180","124","67","0002602167","P / MARTY KANAREK"
"A1","515","LEC","001","2","09:30 - 10:45","T","","R","","","","0118 0209","16","7","0000957399","P / ADENA RISSMAN"
"A1","532","LEC","001","3","11:00 - 12:15","T","","","","","","0053 0175","20","0","0004161661","P / ASLIGUL GOCMEN"
"A1","532","LAB","301","3","09:30 - 12:00","","","R","","","","0053 0380","20","0","0004161661","P / ASLIGUL GOCMEN"
"A1","533","LEC","001","2","14:30 - 17:00","","W","","","","","0482 0159","29","14","0000298410","P / HEATHER SWAN"
"A1","533","LEC","002","2","14:30 - 15:45","T","","R","","","","0048 B223","30","14","0000298410","P / HEATHER SWAN"
"A1","556","LEC","001","1","10:00 - 11:20","","W","","","","","0053 0175","19","18","0004391729","P / MUTLU OZDOGAN"
"A1","556","LAB","301","1","14:30 - 16:00","","W","","","","","0053 0380","19","18","0004391729","P / MUTLU OZDOGAN"
"A1","600","SEM","001","1","14:25 - 16:55","T","","","","","","0408 2341","","9","0003098097","P / GRACE BULLTAIL"
"A1","600","SEM","002","1","14:25 - 16:55","","","R","","","","0046 6116","","11","0003493645","P / COOPER ROSIN"
"A1","600","SEM","003","1","09:30 - 10:45","T","","R","","","","0074B0253","14","4","0000275007","P / NICK BALSTER"
