"","","","","","","","","","DEPARTMENT INSTRUCTIONAL REPORT","","","","","","","",""
"","","","","","","","","","","University of Wisconsin-Madison","","","","","","",""
"","Office of the Registrar                                                        Run Date: 10/3/2023 10:36:27 AM","","","","","","","","","","","","","","","",""
"MEDICAL GENETICS (616)","","","","","","","","","","","","","","","","",""
"TERM:  1242","","","","","","","","","","","","","","","","",""
"COLLEGE:  MED","","","","","","","","","","","","","","","","",""
"SUBJECT:  MEDICAL GENETICS (616)","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","COMB","ENRL","",""
"SESS","CAT","COMP","SECT","OFFER","Time","M","T","W","R","F","S","X","FACILITY","","","EMPLID","Instructor role / name"
"","","","","","","","","","","","","","","ENRN","TOT","",""
"A1","565","LEC","001","1","15:00 - 16:15","","T","","R","","","","0082 1441","53","0","0006240297","P / STEVEN SCHRODI"
"A1","565","LEC","001","1","15:00 - 16:15","","T","","R","","","","0082 1441","53","0","0003728293","P / DONNA WERLING"
"","","","","","","","","","","","","","","","","","Page 715 of 813"
