"","","","","","","","DEPARTMENT INSTRUCTIONAL REPORT","","","","",""
"","","","","","","","","","","","RUN DATE:","8/21/2019"
"","","","","","","","University of Wisconsin-Madison","","","","",""
"","","","","","","","","","","","RUN TIME:","10:25:02AM"
"","","","","","","","Office of the Registrar","","","","",""
"","","SUBJECT: MEDIEVAL STUDIES (633)","","","","","","","","","",""
"","","TERM: 1196","","","","","","","","","",""
"","","","","","","FACILITY_ID","COMB_ENRL","ENRL_TOT","EMPLID","INSTRUCTOR ROLE/NAME","",""
"","MEDIEVAL STUDIES","","","","","","","","","","",""
"DDD","430","LEC","002","1","-","ONLINE","6","2","0000611731","KYLE SWENSON","",""
"","","","","","","","","","","","PAGE NUMBER:
1","OF
1"
