"","","","","","","","DEPARTMENT INSTRUCTIONAL REPORT-FINAL","","","","",""
"","","","","","","","","","","","RUN DATE:","2/26/2009"
"","","","","","","","University of Wisconsin-Madison","","","","",""
"","","","","","","","","","","","RUN TIME:","11:36:13AM"
"","","","","","","","Office of the Registrar","","","","",""
"","SUBJECT: SCIENCE AND TECHNOLOGY STUDIES (875)","","","","","","","","","","",""
"TERM:","1094","","","","","","","","","","",""
"","","","","","","","FACILITY_ID
COMB_ENRL","ENRL_TOT","EMPLID","INSTRUCTOR ROLE/NAME","",""
"SCIENCE AND TECHNOLOGY STUDIES","","","","","","","","","","","",""
"A1
 201
LEC","001","1","09:30 - 10:45","T","","R","0046 6112","18","0003115835","SAINATH SURYANARAYANAN","",""
"A1
 901
SEM","001","1","09:30 - 12:00","","W","","0070 0301","10","0000997082","DANIEL KLEINMAN","",""
"A1
 902
SEM","001","1","12:00 - 13:30","","","R","0046 8108","6","0000997082","DANIEL KLEINMAN","",""
"","","","","","","","","","","","PAGE NUMBER:
1","OF
1"
