"","","","","","DEPARTMENT INSTRUCTIONAL REPORT - FINAL","","","",""
"","","","","","","","","RUN DATE:","2/27/2017"
"","","","","","University of Wisconsin-Madison","","","",""
"","","","","","","","","RUN TIME:","5:57:38PM"
"","","","","","Office of the Registrar","","","",""
"","","SUBJECT: EAST ASIAN LANGUAGES AND LITERATURE (295)","","","","","","",""
"","","TERM:","1174","","","","","",""
"","","","","","Facil ID
COMB_ENRL
ENRL_TOT","EMPLID","INSTRUCTOR ROLE/NAME","",""
"A1","999","IND","035","1","4","0002601970","HONGMING ZHANG","",""
"","","","","","","","","PAGE NUMBER:
5","OF
5"
