"","","","","","","","","","DEPARTMENT INSTRUCTIONAL REPORT","","","","","","","",""
"","","","","","","","","","","University of Wisconsin-Madison","","","","","","",""
"","Office of the Registrar                                                        Run Date: 10/1/2024 10:06:45 AM","","","","","","","","","","","","","","","",""
"COMPARATIVE LITERATURE (260)","","","","","","","","","","","","","","","","",""
"TERM:  1252","","","","","","","","","","","","","","","","",""
"COLLEGE:  L&S","","","","","","","","","","","","","","","","",""
"SUBJECT:  COMPARATIVE LITERATURE (260)","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","COMB","ENRL","",""
"SESS","CAT","COMP","SECT","OFFER","Time","M","T","W","R","F","S","X","FACILITY","","","EMPLID","Instructor role / name"
"","","","","","","","","","","","","","","ENRN","TOT","",""
"A1","203","LEC","001","1","09:30 - 10:45","","T","","R","","","","0057 2425","","11","0005123795","P / BRIGITTE FIELDER"
"A1","203","LEC","002","1","14:30 - 15:45","","T","","R","","","","0482 0587","","17","0003357721","P / CHRISTOPHER LIVANOS"
"","","","","","","","","","","","","","","","","","Page 383 of 808"
