"","","","","","","","","","DEPARTMENT INSTRUCTIONAL REPORT","","","","","","","",""
"","","","","","","","","","","University of Wisconsin-Madison","","","","","","",""
"","Office of the Registrar                                                        Run Date: 10/15/2020 14:10:11 PM","","","","","","","","","","","","","","","",""
"INTEGRATED ARTS (495)","","","","","","","","","","","","","","","","",""
"TERM:  1212","","","","","","","","","","","","","","","","",""
"COLLEGE:  BUS","","","","","","","","","","","","","","","","",""
"SUBJECT:  INTEGRATED ARTS (495)","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","COMB","ENRL","",""
"SESS","CAT","COMP","SECT","OFFER","Time","M","T","W","R","F","S","X","FACILITY","","","EMPLID","Instructor role / name"
"","","","","","","","","","","","","","","ENRN","TOT","",""
"A1","632","SEM","001","2","09:30 - 10:45","","T","","R","","","","ONLINE","37","11","0000575891","P / SARAH MARTY"
"","","","","","","","","","","","","","","","","","Page 94 of 763"
