"","","","","","","","","","DEPARTMENT INSTRUCTIONAL REPORT","","","","","","","",""
"","","","","","","","","","","University of Wisconsin-Madison","","","","","","",""
"","Office of the Registrar                                                        Run Date: 2/20/2024 12:17:18 PM","","","","","","","","","","","","","","","",""
"HEBREW-BIBLICAL (441)","","","","","","","","","","","","","","","","",""
"TERM:  1244","","","","","","","","","","","","","","","","",""
"COLLEGE:  L&S","","","","","","","","","","","","","","","","",""
"SUBJECT:  HEBREW-BIBLICAL (441)","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","COMB","ENRL","",""
"SESS","CAT","COMP","SECT","OFFER","Time","M","T","W","R","F","S","X","FACILITY","","","EMPLID","Instructor role / name"
"","","","","","","","","","","","","","","ENRN","TOT","",""
"A1","391","LEC","001","1","11:00 - 11:50","","T","","R","","","","0482 0586","","9","0004904020","P / JEREMY HUTTON"
"A1","990","IND","021","1","-","","","","","","","","","","2","0004904020","P / JEREMY HUTTON"
"","","","","","","","","","","","","","","","","","Page 457 of 787"
