"COLLEGE:  L&S","","","","","","","","","","","","","","","",""
"SUBJECT:  HISTORY (448)","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","COMB","ENRL","",""
"SESS","CAT","COMP","SECT","OFFER","Time","M
T","W","R","F","S","X","FACILITY","","","EMPLID","Instructor role / name"
"","","","","","","","","","","","","","ENRN","TOT","",""
"A1","426","LEC","001","1","13:00 - 14:15","T","","R","","","","0469 1121","115","54","0003474624","P / KARL SHOEMAKER"
"A1","430","LEC","001","3","14:30 - 15:45","T","","R","","","","0046 6112","19","6","0004953505","P / RICHARD KEYSER"
"A1","435","LEC","001","1","09:30 - 10:45","T","","R","","","","0469 1221","45","27","0005168265","P / JORELL MELENDEZ BADILLO"
"A1","454","LEC","001","1","11:00 - 11:50","M","W","","","","","0048 B115","45","34","0004083702","P / SARAH THAL"
"A1","458","LEC","001","1","16:00 - 17:15","M","W","","","","","0469 1221","29","26","0006688073","P / JUAN FERNANDEZ CAPIRAL"
"A1","460","LEC","001","1","11:00 - 12:15","T","","R","","","","0469 1111","88","47","0000356462","P / JAMES FELDMAN"
"A1","460","DIS","301","1","08:50 - 09:40","","W","","","","","0469 2631","18","9","0005863370","P / NATALIE BELEW"
"A1","460","DIS","302","1","09:55 - 10:45","","W","","","","","0469 2631","18","8","0005863370","P / NATALIE BELEW"
"A1","460","DIS","303","1","11:00 - 11:50","","W","","","","","0469 2631","19","11","0005863370","P / NATALIE BELEW"
"A1","460","DIS","304","1","13:20 - 14:10","","W","","","","","0469 2125","17","3","0005863370","P / NATALIE BELEW"
"A1","460","DIS","333","1","-","","","","","","","","16","16","0000356462","P / JAMES FELDMAN"
"A1","500","SEM","002","1","08:50 - 10:45","","W","","","","","0055 2120","","13","0003374868","P / FINN ENKE"
"A1","500","SEM","003","1","08:50 - 10:45","","W","","","","","0469 5255","","15","0000989162","P / PAUL GRANT"
"A1","500","SEM","004","1","13:20 - 15:15","","","R","","","","0469 5245","13","10","0003031290","P / TONY MICHELS"
"A1","500","SEM","005","1","08:50 - 10:45","","W","","","","","0015 0424","","6","0005214202","P / CLAIRE TAYLOR"
"A1","500","SEM","006","1","11:00 - 12:55","","W","","","","","0469 5257","","13","0005488850","P / CHARLOTTE WHATLEY"
"A1","500","SEM","007","1","15:30 - 17:25","","W","","","","","0469 5255","","8","0006804221","P / ORLANDO DEAVILA PERTUZ"
"A1","500","SEM","008","1","15:30 - 17:25","T","","","","","","0469 5255","","14","0000356462","P / JAMES FELDMAN"
"A1","518","SEM","001","2","11:00 - 12:15","T","","R","","","","0056 0223","16","6","0000267174","P / CHAD GOLDBERG"
"A1","560","LEC","001","2","14:30 - 15:45","M","W","","","","","0545 2195","119","8","0006036361","P / KATHRYN MCGARR"
"A1","560","LEC","001","2","14:30 - 15:45","M","W","","","","","0545 2195","119","8","0006450920","X / RYAN WETTSCHURACK"
"A1","560","DIS","301","2","08:50 - 09:40","T","","","","","","0545 5055","25","1","0006450920","P / RYAN WETTSCHURACK"
"A1","560","DIS","301","2","08:50 - 09:40","T","","","","","","0545 5055","25","1","0006036361","S / KATHRYN MCGARR"
"A1","560","DIS","302","2","09:55 - 10:45","T","","","","","","0545 5055","25","3","0006450920","X / RYAN WETTSCHURACK"
"A1","560","DIS","302","2","09:55 - 10:45","T","","","","","","0545 5055","25","3","0006036361","P / KATHRYN MCGARR"
"A1","560","DIS","303","2","08:50 - 09:40","","W","","","","","0545 2111","25","2","0006036361","S / KATHRYN MCGARR"
"A1","560","DIS","303","2","08:50 - 09:40","","W","","","","","0545 2111","25","2","0006450920","P / RYAN WETTSCHURACK"
"A1","560","DIS","304","2","12:05 - 12:55","","W","","","","","0545 5145","24","1","0006036361","S / KATHRYN MCGARR"
"A1","560","DIS","304","2","12:05 - 12:55","","W","","","","","0545 5145","24","1","0006450920","P / RYAN WETTSCHURACK"
