"","","","","","","","","","DEPARTMENT INSTRUCTIONAL REPORT","","","","","","","",""
"","","","","","","","","","","University of Wisconsin-Madison","","","","","","",""
"","Office of the Registrar                                                        Run Date: 9/30/2025 15:33:47 PM","","","","","","","","","","","","","","","",""
"INTEGRATED ARTS (495)","","","","","","","","","","","","","","","","",""
"TERM:  1262","","","","","","","","","","","","","","","","",""
"COLLEGE:  EDU","","","","","","","","","","","","","","","","",""
"SUBJECT:  INTEGRATED ARTS (495)","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","COMB","ENRL","",""
"SESS","CAT","COMP","SECT","OFFER","Time","M","T","W","R","F","S","X","FACILITY","","","EMPLID","Instructor role / name"
"","","","","","","","","","","","","","","ENRN","TOT","",""
"A1","110","LEC","001","1","17:30 - 19:00","","T","","","","","","1245 0131","","47","0005299563","P / HELEN LEE"
"A1","632","SEM","001","2","09:30 - 10:45","","T","","R","","","","0140 1180","26","3","0000575891","P / SARAH MARTY"
"","","","","","","","","","","","","","","","","","Page 150 of 820"
