"","","","","DEPARTMENT INSTRUCTIONAL REPORT - FINAL","","","","",""
"","","","","","","","","RUN DATE:","8/15/2016"
"","","","","University of Wisconsin-Madison","","","","",""
"","","","","","","","","RUN TIME:","3:28:48PM"
"","","","","Office of the Registrar","","","","",""
"","SUBJECT: CIVIL SOCIETY AND COMMUNITY STUDIES (247)","","","","","","","",""
"TERM:","1166","","","","","","","",""
"","","","Facil ID","COMB_ENRL","ENRL_TOT","EMPLID","INSTRUCTOR ROLE/NAME","",""
"","CIVIL SOCIETY AND COMMUNITY STUDIES","","","","","","","",""
"DHH
 601
FLD","002","1","","","13","0000106129","MICHAEL MAGUIRE","",""
"DHH
 601
FLD","003","1","ONLINE","","1","0000106129","MICHAEL MAGUIRE","",""
"HDD
 999
IND","053","1","","","3","0000421416","LORI BAKKEN","",""
"","","","","","","","PAGE NUMBER:","1","OF
1"
