"","","","","","","","","","DEPARTMENT INSTRUCTIONAL REPORT","","","","","","","",""
"","","","","","","","","","","University of Wisconsin-Madison","","","","","","",""
"","Office of the Registrar                                                        Run Date: 2/21/2023 14:34:07 PM","","","","","","","","","","","","","","","",""
"SCIENCE AND TECHNOLOGY STUDIES (875)","","","","","","","","","","","","","","","","",""
"TERM:  1234","","","","","","","","","","","","","","","","",""
"COLLEGE:  L&S","","","","","","","","","","","","","","","","",""
"SUBJECT:  SCIENCE AND TECHNOLOGY STUDIES (875)","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","COMB","ENRL","",""
"SESS","CAT","COMP","SECT","OFFER","Time","M","T","W","R","F","S","X","FACILITY","","","EMPLID","Instructor role / name"
"","","","","","","","","","","","","","","ENRN","TOT","",""
"A1","734","SEM","001","2","11:00 - 13:30","","","","R","","","","0153 0236","6","0","0000607241","P / JOHN RUDOLPH"
"A1","902","SEM","001","1","12:30 - 14:00","","","","R","","","","0046 8411","","3","0004531636","P / NOAH FEINSTEIN"
"","","","","","","","","","","","","","","","","","Page 586 of 775"
