"COLLEGE:  EGR","","","","","","","","","","","","","","",""
"SUBJECT:  BIOMEDICAL ENGINEERING (207)","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","COMB","ENRL","",""
"SESS","CAT","COMP","SECT","OFFER","Time","M
T","W
R","F","S","X","FACILITY","","","EMPLID","Instructor role / name"
"","","","","","","","","","","","","ENRN","TOT","",""
"A1","463","LAB","302","2","18:00 - 21:00","","W","","","","0481 1036","13","3","0005492099","P / STEVEN OAKES"
"A1","489","IND","092","1","-","","","","","","","","1","0004630653","P / PAUL CAMPAGNOLA"
"A1","489","IND","120","1","-","","","","","","","","1","0006171823","P / KIP LUDWIG"
"A1","505","LEC","001","1","09:55 - 10:45","M","W","F","","","0407 1164","24","17","0005724330","P / LABIB SHAHID"
"A1","505","LEC","001","1","09:55 - 10:45","M","W","F","","","0407 1164","24","17","0003582006","P / ALEJANDRO ROLDAN"
"A1","505","LEC","001","1","09:55 - 10:45","M","W","F","","","0407 1164","24","17","0003646987","P / COLLEEN WITZENBURG"
"A1","517","SEM","001","1","12:05 - 12:55","","W","","","","0481 1003","","51","0001621768","P / JOHN PUCCINELLI"
"A1","520","LEC","001","1","14:30 - 15:45","M","W","","","","0407 1164","","41","0005111233","P / KRISHANU SAHA"
"A1","520","LEC","001","1","14:30 - 15:45","M","W","","","","0407 1164","","41","0006011545","P / ZACHARY ALESCH"
"A1","530","LEC","001","1","14:30 - 15:45","T","R","","","","1485 2409","6","4","0003234041","P / WALLY BLOCK"
"A1","545","LEC","001","1","14:30 - 15:45","T","R","","","","0407 1163","","45","0006186882","P / VAIDEHI PATIL"
"A1","545","LEC","001","1","14:30 - 15:45","T","R","","","","0407 1163","","45","0003802128","P / KRISTYN MASTERS"
"A1","545","LEC","002","1","16:00 - 17:15","T","R","","","","0408 2309","","21","0003802128","P / KRISTYN MASTERS"
"A1","560","LEC","001","2","13:00 - 14:15","T","R","","","","0408 2239","31","12","0000703684","P / SEAN PALECEK"
"A1","566","LEC","001","2","13:00 - 14:15","T","R","","","","1485 1022","21","0","0005797753","X / WILLIAM THOMAS"
"A1","566","LEC","001","2","13:00 - 14:15","T","R","","","","1485 1022","21","0","0003235864","P / WESLEY CULBERSON"
"A1","566","LAB","301","2","-","","","","","","","21","0","0003235864","P / WESLEY CULBERSON"
"A1","574","LEC","001","2","09:55 - 10:45","M","W","F","","","1485 1022","23","3","0005904310","X / DALTON GRINER"
"A1","574","LEC","001","2","09:55 - 10:45","M","W","F","","","1485 1022","23","3","0003802215","P / GUANG-HONG CHEN"
"A1","578","LEC","001","2","08:50 - 09:40","M
T","W
R","","","","1485 1022","27","2","0003439463","P / KEVIN JOHNSON"
"A1","578","LEC","001","2","08:50 - 09:40","M
T","W
R","","","","1485 1022","27","2","0006258062","X / ALEXANDRA CHRISTENSEN"
"A1","578","LEC","001","2","08:50 - 09:40","M
T","W
R","","","","1485 1022","27","2","0004134846","P / IVAN ROSADO-MENDEZ"
"A1","580","LEC","001","2","11:00 - 12:15","M","W","F","","","1485 1022","24","0","0000909667","P / BRADLEY CHRISTIAN"
"A1","580","LEC","001","2","11:00 - 12:15","M","W","F","","","1485 1022","24","0","0005782145","X / MAX MCLACHLAN"
"A1","580","LEC","001","2","11:00 - 12:15","M","W","F","","","1485 1022","24","0","0000929603","P / MICHAEL SPEIDEL"
"A1","601","LEC","005","1","12:05 - 12:55","","","F","","","0407 1106","14","4","0003497955","P / JACOB NOTBOHM"
"A1","601","LEC","006","1","16:00 - 18:00","M","W","","","","0407 1164","12","11","0003567122","P / CHRISTOPHER LUZZIO"
"A1","602","LEC","004","1","15:30 - 16:20","M","","","","","0407 2106","","11","0005632812","P / ZACHARY GAHL"
"A1","602","LEC","004","1","15:30 - 16:20","M","","","","","0407 2106","","11","0006242994","P / FILIZ YESILKOY"
