"","","","","","","","DEPARTMENT INSTRUCTIONAL REPORT  - FINAL","","","","",""
"","","","","","","","","","","","RUN DATE:","10/9/2015"
"","","","","","","","University of Wisconsin-Madison","","","","",""
"","","","","","","","","","","","RUN TIME:","12:57:40PM"
"","","","","","","","Office of the Registrar","","","","",""
"","","SUBJECT: SURGICAL SCIENCES (938)","","","","","","","","","",""
"","","TERM:","1162","","","","","","","","",""
"","","","","","","","FACILITY_ID
COMB_ENRL","ENRL_TOT","EMPLID","INSTRUCTOR ROLE/NAME","",""
"A1","812","SEM","001","1","15:00 - 17:00","T","0093 2350","23","0000374377","CHARLES CZUPRYNSKI","",""
"","","","","","","","","","","PAGE NUMBER:","3","OF
3"
