"","","","","","DEPARTMENT INSTRUCTIONAL REPORT - FINAL","","","",""
"","","","","","","","","RUN DATE:","3/1/2019"
"","","","","","University of Wisconsin-Madison","","","",""
"","","","","","","","","RUN TIME:","3:55:10PM"
"","","","","","Office of the Registrar","","","",""
"","SUBJECT: PHARMACY PRACTICE (728)","","","","","","","",""
"TERM:","1194","","","","","","","",""
"","","","","Facil ID","COMB_ENRL
ENRL_TOT","EMPLID","INSTRUCTOR ROLE/NAME","",""
"A1
 962
SEM","001","1","12:00 - 13:00","W","8","0000506833","STEVEN ROUGH","",""
"A1
 999
IND","028","1","","","7","0000506833","STEVEN ROUGH","",""
"","","","","","","","","PAGE NUMBER:
6","OF
6"
