"","","","","","","","","","DEPARTMENT INSTRUCTIONAL REPORT-FINAL","","","","","",""
"","","","","","","","","","","","","","","RUN DATE:","8/13/2012"
"","","","","","","","","","","University of Wisconsin-Madison","","","","",""
"","","","","","","","","","","","","","","RUN TIME:","11:10:59AM"
"","","","","","","","","","","Office of the Registrar","","","","",""
"","","SUBJECT: FOLKLORE PROGRAM (380)","","","","","","","","","","","","",""
"","","TERM:","1126","","","","","","","","","","","",""
"","","","","","","","","","FACILITY_ID","COMB_ENRL","ENRL_TOT","EMPLID","INSTRUCTOR ROLE/NAME","",""
"","FOLKLORE PROGRAM","","","","","","","","","","","","","",""
"ACC","103","LEC","001","1","09:55 - 12:00","M","T","W R","0469 1641","17","4","0002600540","R SUTTON","",""
"","","","","","","","","","","","","","","PAGE NUMBER:
1","OF
1"
