"","","","","","","","","","DEPARTMENT INSTRUCTIONAL REPORT","","","","","","","",""
"","","","","","","","","","","University of Wisconsin-Madison","","","","","","",""
"","Office of the Registrar                                                        Run Date: 10/4/2022 10:26:54 AM","","","","","","","","","","","","","","","",""
"TERM:  1232","","","","","","","","","","","","","","","","",""
"COLLEGE:  BUS","","","","","","","","","","","","","","","","",""
"SUBJECT:  INTERNATIONAL BUSINESS (235)","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","COMB","ENRL","",""
"SESS","CAT","COMP","SECT","OFFER","Time","M","T","W","R","F","S","X","FACILITY","","","EMPLID","Instructor role / name"
"","","","","","","","","","","","","","","ENRN","TOT","",""
"A1","445","LEC","001","2","14:30 - 15:45","","T","","R","","","","0140 2210N","33","7","0004626875","P / WENDY EUDEY"
"","","","","","","","","","","","","","","","","","Page 77 of 794"
