"SUBJECT:  GENDER AND WOMENS STUDIES (963)","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","COMB","ENRL","",""
"SESS","CAT","COMP","SECT","OFFER","Time","M","T","W
R","F","S","X","FACILITY","","","EMPLID","Instructor role / name"
"","","","","","","","","","","","","","ENRN","TOT","",""
"A1","344","LEC","001","1","14:30 - 15:45","","T","R","","","","0048 B115","","39","0003628578","P / CABELL GATHMAN"
"A1","351","LEC","001","2","14:30 - 15:45","","T","R","","","","0482 0104","94","44","0002601941","P / LAURA MCCLURE"
"A1","359","LEC","001","1","11:00 - 12:15","","T","R","","","","0057 1333","42","37","0006041040","P / SAMANTHA SCHALK"
"A1","374","LEC","001","1","13:00 - 14:15","","T","R","","","","0057 1333","","18","0006041040","P / SAMANTHA SCHALK"
"A1","401","LEC","001","2","14:30 - 17:00","M","","","","","","0400 L159","29","16","0004385837","P / MORRIS YOUNG"
"A1","410","LEC","001","1","09:30 - 10:45","","T","R","","","","0057 1333","","40","0003637709","P / ANNAMARIE CAMPBELL"
"A1","418","LEC","001","1","16:00 - 17:15","M","","W","","","","0544 L150","60","31","0004533206","P / LAURA SCHUMACHER"
"A1","418","LEC","001","1","16:00 - 17:15","M","","W","","","","0544 L150","60","31","0005099815","S / LORI LOPEZ"
"A1","420","LEC","001","1","14:30 - 17:00","","T","","","","","0482 0483","","21","0002602083","P / MARIA LEPOWSKY"
"A1","423","LEC","001","1","11:00 - 12:15","","T","R","","","","0057 2301","","43","0004914240","P / KATHERINE PHELPS"
"A1","425","LEC","001","3","-","","","","","","","ONLINE","61","11","0005689485","P / SARAH FRANK"
"A1","437","LEC","001","4","09:55 - 10:45","M","","W","F","","","0053 0360","35","9","0004398635","P / SASHA SUAREZ"
"A1","449","LEC","001","1","11:00 - 12:15","","T","R","","","","0056 0122","","38","0000832223","P / CHRISTINE GARLOUGH"
"A1","449","LEC","002","1","09:30 - 10:45","","T","R","","","","0054 0346","","40","0004914240","P / KATHERINE PHELPS"
"A1","533","LEC","002","1","11:00 - 12:15","","T","R","","","","0057 1339","","30","0006488353","P / SARA CHADWICK"
"A1","533","LEC","003","1","09:30 - 10:45","","T","R","","","","0087C0108","","23","0006488353","P / SARA CHADWICK"
"A1","535","LEC","001","1","08:00 - 10:30","M","","","","","","0057 1333","47","35","0000902256","P / ARACELI ALONSO"
"A1","539","LEC","001","1","13:00 - 14:15","","T","R","","","","0057 2301","","31","0006315802","P / LEIGH SENDEROWICZ"
"A1","624","LEC","001","2","14:25 - 17:25","","","R","","","","0018 4208","8","1","0005473595","P / THULANI DAVIS"
"A1","640","LEC","001","1","13:00 - 14:15","","T","R","","","","0057 3401","","8","0004426598","P / JESSICA WAGGONER"
"A1","677","LEC","001","2","08:00 - 09:15","M","","W","","","","0469 2637","12","8","0003874069","P / BRITTNEY EDMONDS"
"A1","681","IND","011","1","-","","","","","","","","","1","0006316563","P / RUTH GOLDSTEIN"
"A1","681","IND","017","1","-","","","","","","","","","1","0000832223","P / CHRISTINE GARLOUGH"
"A1","681","IND","033","1","-","","","","","","","","","1","0006041040","P / SAMANTHA SCHALK"
"A1","682","IND","001","1","-","","","","","","","","","1","0003568183","P / JILL CASID"
"A1","691","IND","013","1","-","","","","","","","","","1","0004761197","P / KEISHA LINDSAY"
"A1","691","IND","042","1","-","","","","","","","","","1","0005302740","P / ANNIE MENZEL"
"A1","699","IND","005","1","-","","","","","","","","","1","0000902256","P / ARACELI ALONSO"
"A1","720","SEM","001","1","12:30 - 14:00","","","R","","","","0046 8411","10","3","0004725204","P / EUN SIL OH"
