"COLLEGE:  L&S","","","","","","","","","","","","","","","",""
"SUBJECT:  SOCIOLOGY (900)","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","COMB","ENRL","",""
"SESS","CAT","COMP","SECT","OFFER","Time","M","T","W
R","F","S","X","FACILITY","","","EMPLID","Instructor role / name"
"","","","","","","","","","","","","","ENRN","TOT","",""
"A1","220","DIS","301","1","14:25 - 15:15","M","","W","","","","0046 6113","16","11","0005457448","P / REBECCA LAURENT"
"A1","220","DIS","302","1","15:30 - 16:20","M","","W","","","","0046 6113","14","13","0005457448","P / REBECCA LAURENT"
"A1","220","DIS","303","1","09:55 - 10:45","","T","R","","","","0046 6121","15","12","0005700763","P / CULLEN COHANE"
"A1","220","DIS","304","1","11:00 - 11:50","","T","R","","","","0046 6314","15","11","0005700763","P / CULLEN COHANE"
"A1","220","DIS","305","1","13:20 - 14:10","","T","R","","","","0046 6105","14","13","0006458263","P / GABRIEL KAHAN"
"A1","220","DIS","306","1","14:25 - 15:15","","T","R","","","","0046 6117","15","10","0006458263","P / GABRIEL KAHAN"
"A1","220","DIS","399","1","-","","","","","","","","1","1","0006091935","P / EMMA-CLAIRE LASAINE"
"A1","244","LEC","001","4","09:30 - 10:45","","T","R","","","","0469 1131","88","10","0002602051","P / MICHAEL CULLINANE"
"A1","244","DIS","301","4","13:20 - 14:10","","","R","","","","0469 2231","18","3","0004144598","P / NAPAKADOL KITTISENEE"
"A1","244","DIS","302","4","14:25 - 15:15","","","R","","","","0469 2111","17","5","0004144598","P / NAPAKADOL KITTISENEE"
"A1","244","DIS","303","4","08:50 - 09:40","","","","F","","","0469 2131","15","0","0004144598","P / NAPAKADOL KITTISENEE"
"A1","244","DIS","304","4","11:00 - 11:50","","","","F","","","0469 2101","18","2","0004144598","P / NAPAKADOL KITTISENEE"
"A1","244","DIS","305","4","09:55 - 10:45","","","","F","","","0469 2111","18","0","0002602051","P / MICHAEL CULLINANE"
"A1","244","DIS","333","4","-","","","","","","","","2","0","0002602051","P / MICHAEL CULLINANE"
"A1","248","LEC","001","3","09:30 - 10:45","","T","R","","","","0407 1143","40","17","0005020909","P / TODD FLOURNOY"
"A1","277","LEC","001","1","09:55 - 10:45","M","","W","","","","0469 1111","123","18","0001578092","P / NEIL KODESH"
"A1","277","DIS","301","1","11:00 - 11:50","M","","","","","","0469 2631","17","1","0006365663","P / FAUZIYATU MORO"
"A1","277","DIS","302","1","12:05 - 12:55","M","","","","","","0469 2631","17","3","0006365663","P / FAUZIYATU MORO"
"A1","277","DIS","303","1","16:35 - 17:25","M","","","","","","0469 2131","15","3","0006365663","P / FAUZIYATU MORO"
"A1","277","DIS","304","1","17:40 - 18:30","M","","","","","","0469 2631","7","1","0006283622","P / MICHAEL OSHINDORO"
"A1","277","DIS","305","1","08:50 - 09:40","","T","","","","","0469 2619","17","5","0006283622","P / MICHAEL OSHINDORO"
"A1","277","DIS","306","1","14:25 - 15:15","","T","","","","","0469 2131","17","3","0006103320","P / OSARETIN OLUROTIMI"
"A1","277","DIS","307","1","15:30 - 16:20","","T","","","","","0469 2131","10","2","0006103320","P / OSARETIN OLUROTIMI"
"A1","277","DIS","308","1","16:35 - 17:25","","T","","","","","0469 2111","7","0","0006103320","P / OSARETIN OLUROTIMI"
"A1","277","DIS","333","1","-","","","","","","","","16","0","0001578092","P / NEIL KODESH"
"A1","320","FLD","035","1","-","","","","","","","","","3","0002601946","P / PAMELA OLIVER"
"A1","320","FLD","036","1","-","","","","","","","","","3","0005522515","P / CHLOE HART"
"A1","320","FLD","037","1","-","","","","","","","","","1","0002634752","S / DOUGLAS MAYNARD"
"A1","320","FLD","037","1","-","","","","","","","","","1","0005636274","P / LUCAS WISCONS"
