"COLLEGE:  L&S","","","","","","","","","","","","","","","",""
"SUBJECT:  JEWISH STUDIES (510)","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","COMB","ENRL","",""
"SESS","CAT","COMP","SECT","OFFER","Time","M","T","W
R","F","S","X","FACILITY","","","EMPLID","Instructor role / name"
"","","","","","","","","","","","","","ENRN","TOT","",""
"A1","219","LEC","001","2","13:20 - 14:10","M","","W","F","","","0469 1111","68","28","0003031290","P / ANTHONY MICHELS"
"A1","219","DIS","301","2","16:35 - 17:25","M","","","","","","0469 2625","16","7","0006367019","P / RIMA TURNER"
"A1","219","DIS","302","2","17:40 - 18:30","M","","","","","","0469 2125","12","7","0006367019","P / RIMA TURNER"
"A1","219","DIS","303","2","08:50 - 09:40","","T","","","","","0469 2101","16","7","0006367019","P / RIMA TURNER"
"A1","219","DIS","304","2","09:55 - 10:45","","T","","","","","0469 2625","17","7","0006367019","P / RIMA TURNER"
"A1","219","DIS","333","2","-","","","","","","","","7","0","0003031290","P / ANTHONY MICHELS"
"A1","227","LEC","001","2","09:30 - 10:45","","T","R","","","","0482 0114","72","13","0006315775","P / CHONTEL SYFOX"
"A1","227","LEC","001","2","09:30 - 10:45","","T","R","","","","0482 0114","72","13","0006285224","X / JORDAN COSTANZA"
"A1","269","LEC","001","1","09:30 - 10:45","","T","R","","","","0046 6112","31","17","0005850423","P / SUNNY YUDKOFF"
"A1","301","LEC","001","3","13:00 - 14:15","","T","R","","","","0482 0374","8","0","0005452962","P / JUDITH SONE"
"A1","430","LEC","001","1","11:00 - 12:15","","T","R","","","","0046 5231","70","44","0005850423","P / SUNNY YUDKOFF"
"A1","430","LEC","003","1","13:00 - 14:15","","T","","","","","0056 0019","202","38","0005899609","X / CHEN CHEN"
"A1","430","LEC","003","1","13:00 - 14:15","","T","","","","","0056 0019","202","38","0006219977","X / GEMINI FOX"
"A1","430","LEC","003","1","13:00 - 14:15","","","R","","","","ONLINE","202","38","0002601053","P / JOLANDA TAYLOR"
"A1","515","LEC","001","3","16:30 - 19:00","M","","","","","","0153 0336","17","0","0001322480","P / SIMONE SCHWEBER"
"A1","699","IND","002","1","-","","","","","","","","","1","0005452962","P / JUDITH SONE"
