"TERM:  1232","","","","","","","","","","","","","","",""
"COLLEGE:  MED","","","","","","","","","","","","","","",""
"SUBJECT:  NEUROSCIENCE TRAINING PROGRAM (682)","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","COMB","ENRL","",""
"SESS","CAT","COMP","SECT","OFFER","Time","M
T","W
R","F","S","X","FACILITY","","","EMPLID","Instructor role / name"
"","","","","","","","","","","","","ENRN","TOT","",""
"A1","610","LEC","001","2","09:55 - 10:45","M","W
R","F","","","1480 1345","34","25","0004148289","P / AVTAR ROOPRA"
"A1","610","LEC","001","2","09:55 - 10:45","M","W
R","F","","","1480 1345","34","25","0002601911","P / SHING-YAN CHIU"
"A1","610","LEC","001","2","09:55 - 10:45","M","W
R","F","","","1480 1345","34","25","0002600645","P / MEYER JACKSON"
"A1","610","LEC","001","2","09:55 - 10:45","M","W
R","F","","","1480 1345","34","25","0006112010","P / RAUNAK SINHA"
"A1","610","LEC","001","2","09:55 - 10:45","M","W
R","F","","","1480 1345","34","25","0003130187","P / MATHEW JONES"
"A1","629","LEC","002","1","11:00 - 13:00","T","","","","","1480 1244","32","27","0002600645","P / MEYER JACKSON"
"A1","629","LEC","002","1","11:00 - 13:00","T","","","","","1480 1244","32","27","0003234931","P / TIMOTHY GOMEZ"
"A1","629","LEC","002","1","11:00 - 13:00","T","","","","","1480 1244","32","27","0003130187","P / MATHEW JONES"
"A1","629","LEC","002","1","11:00 - 13:00","T","","","","","1480 1244","32","27","0004148289","P / AVTAR ROOPRA"
"A1","629","LEC","002","1","11:00 - 13:00","T","","","","","1480 1244","32","27","0000176537","P / ERIK DENT"
"A1","629","DIS","301","1","13:20 - 14:10","","R","","","","1480 1244","32","27","0000176537","P / ERIK DENT"
"A1","629","DIS","301","1","13:20 - 14:10","","R","","","","1480 1244","32","27","0003234931","P / TIMOTHY GOMEZ"
"A1","629","DIS","301","1","13:20 - 14:10","","R","","","","1480 1244","32","27","0002600645","P / MEYER JACKSON"
"A1","629","DIS","301","1","13:20 - 14:10","","R","","","","1480 1244","32","27","0003130187","P / MATHEW JONES"
"A1","629","DIS","301","1","13:20 - 14:10","","R","","","","1480 1244","32","27","0004148289","P / AVTAR ROOPRA"
"A1","651","LEC","001","2","08:00 - 09:15","T","R","","","","1480 1345","25","18","0004612716","P / RASMUS BIRN"
"A1","651","LEC","001","2","08:00 - 09:15","T","R","","","","1480 1345","25","18","0004591605","P / DOUGLAS DEAN"
"A1","660","SEM","001","1","15:00 - 16:00","","R","","","","1480 3330","","9","0004957404","P / BARBARA BENDLIN"
"A1","677","LEC","001","1","16:30 - 18:00","T","R","","","","1485 5571","","20","0003370762","P / CHIARA CIRELLI"
"A1","677","LEC","001","1","16:30 - 18:00","T","R","","","","1485 5571","","20","0004957683","P / DAVID PLANTE"
"A1","700","SEM","001","1","13:30 - 15:30","M","","","","","1480 1220","","12","0005713458","P / ARI ROSENBERG"
"A1","900","LEC","001","1","16:00 - 17:00","M","","","","","1480 1345","","60","0005713458","P / ARI ROSENBERG"
"A1","900","DIS","301","1","12:00 - 13:00","","R","","","","1480 1220","","18","","/"
"A1","900","DIS","302","1","16:00 - 17:00","M","","","","","1480 1345","","17","","/"
"A1","900","DIS","303","1","16:00 - 17:00","M","","","","","1480 1345","","17","","/"
"A1","900","DIS","304","1","16:00 - 17:00","M","","","","","1480 1345","","8","","/"
"A1","990","IND","009","1","-","","","","","","","","1","0000185429","P / MATTHEW BANKS"
"A1","990","IND","011","1","-","","","","","","","","3","0004957404","P / BARBARA BENDLIN"
"A1","990","IND","012","1","-","","","","","","","","1","0002602027","P / CRAIG BERRIDGE"
