"Term:","","","1124","","DEPARTMENT INSTRUCTIONAL REPORT-FINAL","","","","","","","Friday, March 02, 2012",""
"","","","","","","University of Wisconsin - Madison","","","","","","",""
"","","","","","","Office of the Registrar","","","","","","",""
"","","","","","","","","","Facil ID","Comb Enrl","Tot Enrl","Emplid","Instructor Name"
"Subject:","","","","FOREST AND WILDLIFE ECOLOGY","","","(
396",")","","","","",""
"A1","110","001","LEC","11:00","11:50","M","W","F","0084 1125","0","175","0003031297","JAMES BERKELMAN"
"A1","299","006","IND","","","","","","","0","4","0000840725","PHILIP TOWNSEND"
"A1","299","024","IND","","","","","","","0","3","0000530003","DAVID MLADENOFF"
"A1","299","026","IND","","","","","","","0","4","0002601591","WILLIAM KARASOV"
"A1","299","027","IND","","","","","","","0","1","0002601585","ROBERT LUTZ"
"A1","299","032","IND","","","","","","","0","1","0004106923","DAVID DRAKE"
"A1","299","044","IND","","","","","","","0","1","0004567415","M PEERY"
"A1","299","052","IND","","","","","","","0","1","0003356803","JONATHAN PAULI"
"A1","300","001","LEC","09:55","10:45","M","W","F","0114 0104","0","29","0001445055","VOLKER RADELOFF"
"A1","300","301","LAB","14:25","16:25","M","","","0114 A120","0","29","0001445055","VOLKER RADELOFF"
"A1","306","001","LEC","08:50","09:40","M","W","F","0114 0184","0","43","0000884099","ANNA PIDGEON"
"A1","306","301","LAB","13:00","14:30","","","F","0114 A228","0","24","0000884099","ANNA PIDGEON"
"A1","306","302","LAB","14:45","16:15","","","F","0114 A228","0","19","0000884099","ANNA PIDGEON"
"A1","335","001","LEC","14:30","15:45","T","R","","0054 0145","147","40","0000984250","PATRICIA MCCONNELL"
"A1","335","301","DIS","15:50","16:40","","R","","0054 0348","7","3","0004726260","MEGHAN FITZGERALD"
"A1","375","001","LEC","12:05","12:55","T","R","","0114 A121","0","10","0000884099","ANNA PIDGEON"
"AH","375","002","LEC","11:00","11:50","T","R","","0114 A121","13","5","0000530003","DAVID MLADENOFF"
"A1","375","003","LEC","","","","","","","0","10","0003031297","JAMES BERKELMAN"
"A1","375","301","LAB","08:50","11:50","","R","","0114 A120","0","10","0000884099","ANNA PIDGEON"
"A1","379","001","LEC","09:55","10:45","M","W","F","0114 0184","0","39","0002601585","ROBERT LUTZ"
"A1","399","002","IND","","","","","","","0","1","0002600013","CRAIG LORIMER"
