"Term:","","","1124","","DEPARTMENT INSTRUCTIONAL REPORT-FINAL","","","","","","","","Friday, March 02, 2012",""
"","","","","","","University of Wisconsin - Madison","","","","","","","",""
"","","","","","","Office of the Registrar","","","","","","","",""
"","","","","","","","","","","Facil ID","Comb Enrl","Tot Enrl","Emplid","Instructor Name"
"A1","614","006","FLD","","","","","","","","0","1","0000367808","ROBERT ASEN"
"A1","614","007","FLD","","","","","","","","0","2","0000332957","VANCE KEPLEY"
"A1","614","008","FLD","","","","","","","","0","2","0000940337","KELLEY CONWAY"
"A1","614","012","FLD","","","","","","","","0","1","0003437406","ROBERT HOWARD"
"A1","614","014","FLD","","","","","","","","0","1","0001088502","ZHONGDANG PAN"
"A1","614","017","FLD","","","","","","","","0","2","0003437385","BENJAMIN SINGER"
"A1","614","018","FLD","","","","","","","","0","2","0002602118","STEPHEN LUCAS"
"A1","614","019","FLD","","","","","","","","0","2","0002600867","MICHELE HILMES"
"A1","614","027","FLD","","","","","","","","0","1","0002600473","J MURPHY"
"A1","614","029","FLD","","","","","","","","0","1","0001591621","MICHAEL XENOS"
"A1","614","030","FLD","","","","","","","","0","1","0000527820","JEFFREY SMITH"
"A1","614","033","FLD","","","","","","","","0","1","0004384631","LYN VAN SWOL"
"A1","614","039","FLD","","","","","","","","0","1","0004613231","JONATHAN GRAY"
"A1","614","040","FLD","","","","","","","","0","1","0004753016","CATALINA TOMA"
"A1","614","043","FLD","","","","","","","","0","2","0003467207","DEREK JOHNSON"
"A1","615","030","FLD","","","","","","","","0","1","0000527820","JEFFREY SMITH"
"A1","615","032","FLD","","","","","","","","0","1","0002602122","LEA JACOBS"
"A1","616","001","LEC","11:00","12:15","","T","","R","0408 2341","20","3","0004310417","KARYN RIDDLE"
"A1","617","001","LEC","14:30","15:45","","T","","R","0469 2625","20","0","0000590808","ALBERT GUNTHER"
"A1","655","001","LEC","16:00","17:15","M","","W","","0482 0155","10","6","0002601598","MARC SILBERMAN"
"A1","655","301","LAB","18:00","20:30","M","","","","0482 0114","10","6","0002601598","MARC SILBERMAN"
"A1","665","001","LEC","18:30","21:00","","","W","","0545 3155","0","21","0000527820","JEFFREY SMITH"
