"Term:","","","1124","","DEPARTMENT INSTRUCTIONAL REPORT-FINAL","","","","","","Friday, March 02, 2012",""
"","","","","","","University of Wisconsin - Madison","","","","","",""
"","","","","","","Office of the Registrar","","","","","",""
"","","","","","","","","Facil ID","Comb Enrl","Tot Enrl","Emplid","Instructor Name"
"A1","333","001","LEC","11:00","11:50","","W","0402 0119","0","73","0000273959","KATHERINE MCMAHON"
"A1","333","301","DIS","09:55","10:45","T","","0402 0379","0","15","0003727896","LAURA WINKLER"
"A1","333","302","DIS","11:00","11:50","T","","0402 0379","0","16","0003727896","LAURA WINKLER"
"A1","333","303","DIS","12:05","12:55","T","","0402 0379","0","16","0003727896","LAURA WINKLER"
"A1","333","304","DIS","13:20","14:10","T","","0402 0379","0","13","0003812525","KARL HARO VON MOGEL"
"A1","333","305","DIS","14:25","15:15","T","","0402 0379","0","13","0003812525","KARL HARO VON MOGEL"
"A1","699","002","IND","","","","","","0","1","0000394810","MICHELLE HARRIS"
