"Term:","","","1124","","DEPARTMENT INSTRUCTIONAL REPORT-FINAL","","","","","","","","Friday, March 02, 2012",""
"","","","","","","University of Wisconsin - Madison","","","","","","","",""
"","","","","","","Office of the Registrar","","","","","","","",""
"","","","","","","","","","","Facil ID","Comb Enrl","Tot Enrl","Emplid","Instructor Name"
"A1","460","601","DIS","16:25","17:25","M","","","","0054 0101","21","5","0000946470","SUSAN WOLF"
"A1","460","601","DIS","16:25","17:25","M","","","","0054 0101","21","5","0004734783","BRIAN HARVEY"
"A1","460","601","DIS","16:25","17:25","M","","","","0054 0101","21","5","0001576793","KATIE FRERKER"
"A1","460","602","DIS","16:25","17:25","","T","","","0054 0101","23","1","0000946470","SUSAN WOLF"
"A1","460","602","DIS","16:25","17:25","","T","","","0054 0101","23","1","0001576793","KATIE FRERKER"
"A1","460","602","DIS","16:25","17:25","","T","","","0054 0101","23","1","0004734783","BRIAN HARVEY"
"A1","460","603","DIS","16:25","17:25","","","W","","0054 0101","22","0","0000946470","SUSAN WOLF"
"A1","460","603","DIS","16:25","17:25","","","W","","0054 0101","22","0","0004734783","BRIAN HARVEY"
"A1","460","603","DIS","16:25","17:25","","","W","","0054 0101","22","0","0001576793","KATIE FRERKER"
"A1","460","604","DIS","16:25","17:25","","","","R","0054 0101","22","2","0000946470","SUSAN WOLF"
"A1","460","604","DIS","16:25","17:25","","","","R","0054 0101","22","2","0001576793","KATIE FRERKER"
"A1","460","604","DIS","16:25","17:25","","","","R","0054 0101","22","2","0004734783","BRIAN HARVEY"
"A1","572","001","LEC","11:00","12:15","","T","","R","0470 0121","88","18","0000321374","JUN ZHU"
"A1","572","311","DIS","13:00","14:15","","T","","","0520 0235","24","8","0004578330","LILUN DU"
"A1","572","312","DIS","14:30","15:45","","","W","","0408 1213","24","3","0004285558","SHENG ZHANG"
"A1","572","313","DIS","13:00","14:15","","","W","","0408 1213","24","4","0004285558","SHENG ZHANG"
"A1","572","314","DIS","16:00","17:15","","T","","","0155 1257","16","3","0004578330","LILUN DU"
"A1","599","001","LEC","12:05","14:10","","T","","R","0114 A228","0","15","0003031297","JAMES BERKELMAN"
"AO","606","001","LEC","16:00","17:15","","T","","","0074B0270","42","1","0003374497","JOEL PEDERSEN"
"A1","635","001","LEC","12:05","14:10","","","","R","0114 A232","0","9","0002600013","CRAIG LORIMER"
"A1","651","001","LEC","14:30","15:45","","T","","R","0057 1310","40","10","0002600492","ADRIAN TREVES"
"A1","651","301","DIS","16:00","17:15","","","","R","0056 0120","25","6","0002600492","ADRIAN TREVES"
